,IDCliente,Genero,Aposentado,Casado,Dependentes,MesesComoCliente,ServicoTelefone,MultiplasLinhas,ServicoInternet,ServicoSegurancaOnline,ServicoBackupOnline,ProtecaoEquipamento,ServicoSuporteTecnico,ServicoStreamingTV,ServicoFilmes,TipoContrato,FaturaDigital,FormaPagamento,ValorMensal,TotalSpend,Churn,Codigo
6508,8708-XPXHZ,Feminino,0,Yes,Yes,42,Yes,Yes,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,94.2,4186.3,Yes,
5636,0601-WZHJF,Masculino,0,Yes,No,14,No,SemTelefone,DSL,No,No,No,No,Yes,Yes,Mensal,No,BoletoEletronico,46.35,667.7,Yes,
4693,0463-TXOAK,Masculino,0,No,Yes,52,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,25.6,1334.5,No,
3393,4683-WYDOU,Masculino,0,Yes,No,62,Yes,Yes,Fibra,No,No,Yes,Yes,Yes,Yes,2 anos,Yes,DebitoAutomatico,107.6,6912.7,No,
4201,1166-PQLGG,Feminino,0,Yes,Yes,72,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,DebitoAutomatico,19.55,1463.45,No,
3550,0963-ZBDRN,Masculino,0,No,No,32,Yes,No,Fibra,No,No,No,Yes,Yes,Yes,Mensal,Yes,BoletoEletronico,96.2,3183.4,Yes,
5782,4871-JTKJF,Feminino,1,No,No,1,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,69.65,69.65,Yes,
5419,7173-TETGO,Feminino,1,Yes,No,72,Yes,Yes,Fibra,Yes,No,No,No,No,No,2 anos,No,DebitoAutomatico,78.5,5602.25,No,
1891,4193-ORFCL,Feminino,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Mensal,No,BoletoImpresso,45.1,45.1,Yes,
4275,2692-PFYTJ,Feminino,0,No,No,1,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Yes,BoletoImpresso,25.75,25.75,No,
4738,2369-UAPKZ,Masculino,0,No,No,5,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Mensal,No,BoletoImpresso,104.1,541.9,Yes,
1545,5193-QLVZB,Masculino,0,No,No,63,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,2 anos,Yes,DebitoAutomatico,104.75,6536.5,No,
904,0379-DJQHR,Masculino,0,Yes,Yes,67,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,2 anos,No,CartaoCredito,81.35,5398.6,No,
6602,4657-FWVFY,Feminino,0,Yes,Yes,40,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,No,Mensal,Yes,CartaoCredito,96.35,3915.4,No,
6123,0623-EJQEG,Masculino,0,No,No,65,Yes,Yes,Fibra,Yes,No,No,Yes,No,Yes,Anual,No,BoletoEletronico,93.55,6069.25,No,
4999,1699-TLDLZ,Feminino,0,Yes,Yes,16,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,19.7,301.55,No,
4879,4501-UYKBC,Feminino,1,No,No,46,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Anual,Yes,CartaoCredito,69.1,3255.35,No,
1703,8158-WPEZG,Masculino,0,No,No,11,No,SemTelefone,DSL,No,Yes,No,Yes,No,No,Mensal,Yes,BoletoEletronico,35.65,425.1,No,
4257,9732-EQMWY,Feminino,0,Yes,No,49,Yes,No,Fibra,No,Yes,Yes,No,Yes,Yes,Mensal,No,BoletoEletronico,99.4,5025,No,
3870,1099-BTKWT,Feminino,0,Yes,No,68,No,SemTelefone,DSL,Yes,No,Yes,No,Yes,Yes,Anual,Yes,BoletoEletronico,54.4,3723.65,No,
5038,4815-TUMEQ,Feminino,0,No,No,10,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Yes,BoletoImpresso,19.3,185.2,No,
1720,6407-UTSLV,Feminino,1,No,No,2,Yes,No,Fibra,No,Yes,No,No,Yes,No,Mensal,Yes,DebitoAutomatico,83.8,163.7,No,
4776,0018-NYROU,Feminino,0,Yes,No,5,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,68.95,351.5,No,
4122,4632-XJMEX,Masculino,0,No,Yes,53,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Anual,No,CartaoCredito,62.85,3419.5,No,
5261,1409-PHXTF,Masculino,1,Yes,No,54,Yes,Yes,Fibra,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,BoletoEletronico,110.45,6077.75,No,
3479,8229-TNIQA,Feminino,0,No,No,4,Yes,No,DSL,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,45.3,196.95,Yes,
1498,0529-ONKER,Masculino,1,No,No,15,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,No,BoletoEletronico,75.65,1146.65,Yes,
254,3675-YDUPJ,Masculino,0,No,No,10,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Yes,BoletoImpresso,19.85,193.05,No,
3016,4484-CGXFK,Feminino,0,No,No,3,Yes,No,DSL,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,55.3,196.15,Yes,
221,4443-EMBNA,Feminino,0,Yes,No,71,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,DebitoAutomatico,24.75,1836.9,No,
3794,4280-DLSHD,Masculino,0,Yes,No,8,Yes,No,DSL,No,Yes,Yes,No,No,No,Mensal,Yes,BoletoImpresso,54.75,445.85,No,
4800,9300-AGZNL,Masculino,1,No,No,1,Yes,Yes,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,94.0,94,Yes,
4291,2789-CZANW,Feminino,0,Yes,Yes,64,Yes,Yes,Fibra,Yes,Yes,No,Yes,Yes,Yes,2 anos,No,DebitoAutomatico,110.3,6997.3,No,
5807,8464-EETCQ,Masculino,0,No,No,57,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,18.8,1094.35,No,
2208,7216-EWTRS,Feminino,1,Yes,No,1,Yes,Yes,Fibra,No,No,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,100.8,100.8,Yes,
1195,4468-KAZHE,Feminino,1,Yes,No,20,Yes,No,DSL,No,Yes,No,No,No,Yes,Mensal,Yes,BoletoEletronico,60.0,1259.35,No,
1782,8623-ULFNQ,Feminino,1,No,No,26,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Mensal,Yes,BoletoEletronico,66.05,1652.4,No,
6552,9317-WZPGV,Feminino,1,No,No,2,Yes,No,Fibra,No,No,No,No,No,Yes,Mensal,Yes,DebitoAutomatico,79.75,159.4,Yes,
1320,8947-YRTDV,Masculino,0,Yes,Yes,32,Yes,No,Fibra,Yes,Yes,Yes,No,No,Yes,Anual,No,BoletoImpresso,94.8,3131.55,No,
3765,1814-DKOLC,Feminino,0,No,No,5,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,25.45,134.75,No,
6799,8071-SBTRN,Feminino,0,No,No,70,Yes,Yes,Fibra,Yes,Yes,Yes,No,Yes,Yes,2 anos,Yes,BoletoImpresso,111.15,7737.55,No,
2488,4701-MLJPN,Masculino,0,No,No,31,Yes,No,DSL,No,No,Yes,Yes,No,No,Mensal,Yes,BoletoEletronico,55.25,1715.65,Yes,
1578,1205-WNWPJ,Feminino,0,No,No,7,Yes,No,DSL,No,No,No,Yes,Yes,No,Mensal,Yes,BoletoImpresso,59.5,415.95,Yes,
376,6158-HDPXZ,Masculino,0,No,No,1,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,No,BoletoImpresso,25.35,25.35,No,
755,6683-VLCTZ,Masculino,1,No,No,20,Yes,Yes,Fibra,No,No,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,98.55,1842.8,Yes,
291,3727-OWVYD,Masculino,0,No,No,35,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Anual,No,BoletoImpresso,61.2,2021.2,No,
5910,0856-NoES,Masculino,0,No,No,6,Yes,No,DSL,No,No,Yes,No,Yes,No,Mensal,No,BoletoImpresso,60.9,414.1,No,
4914,0562-FGDCR,Feminino,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,2 anos,No,BoletoImpresso,74.55,5430.65,No,
188,0956-SYCWG,Feminino,0,No,No,13,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,No,BoletoEletronico,19.65,244.8,No,
4382,2277-VWCNI,Feminino,1,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Mensal,No,BoletoImpresso,48.75,179.85,No,
1419,3498-LZGQZ,Masculino,0,Yes,Yes,63,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,BoletoImpresso,19.15,1177.05,No,
2476,9135-MGVPY,Masculino,0,Yes,No,69,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,BoletoImpresso,84.7,5878.9,,
3945,3815-SLMEF,Feminino,0,No,No,3,No,SemTelefone,DSL,Yes,No,No,Yes,No,No,Mensal,No,BoletoImpresso,34.25,139.35,Yes,
501,4513-CXYIX,Feminino,1,Yes,No,71,Yes,Yes,Fibra,Yes,No,No,No,No,No,2 anos,Yes,CartaoCredito,80.7,5676,No,
1197,8944-AILEF,Masculino,0,Yes,No,15,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Yes,CartaoCredito,19.45,340.85,No,
5327,1270-XKUCC,Feminino,0,Yes,Yes,30,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,19.7,599.25,No,
6983,6633-SYEUS,Feminino,0,No,No,23,Yes,No,Fibra,No,Yes,Yes,Yes,No,No,Mensal,No,DebitoAutomatico,83.2,2032.3,No,
5267,8075-GXIUB,Masculino,1,Yes,No,9,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,No,CartaoCredito,19.85,183.15,No,
4119,6016-NXBNJ,Masculino,0,No,No,35,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Yes,BoletoImpresso,19.15,638,No,
6517,9332-GYWLO,Feminino,0,Yes,Yes,6,Yes,No,DSL,No,No,No,No,Yes,No,Mensal,No,BoletoEletronico,54.85,355.1,No,
672,3276-HDUEG,Feminino,0,No,No,1,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,75.05,75.05,Yes,
3984,5884-FBCTL,Feminino,0,Yes,Yes,72,Yes,Yes,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,DebitoAutomatico,25.1,1857.85,No,
1374,8999-YPYBV,Masculino,0,Yes,Yes,45,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,BoletoImpresso,84.35,3858.05,No,
5975,1522-VVDMG,Masculino,0,Yes,Yes,7,Yes,No,Fibra,No,Yes,No,Yes,Yes,No,Mensal,Yes,BoletoEletronico,89.75,608.8,Yes,
6367,0848-SOMKO,Masculino,0,No,No,70,No,SemTelefone,DSL,Yes,No,Yes,Yes,No,Yes,2 anos,No,DebitoAutomatico,48.4,3442.8,No,
2178,1657-DYMBM,Masculino,0,Yes,No,53,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,19.9,1110.05,No,
5516,6923-EFPNL,Masculino,0,No,No,4,Yes,Yes,DSL,No,No,No,No,No,No,Mensal,No,CartaoCredito,51.75,201.1,Yes,
4270,2167-FQSTQ,Feminino,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,BoletoEletronico,92.4,6786.1,No,
216,9286-BHDQG,Masculino,0,Yes,Yes,72,No,SemTelefone,DSL,Yes,Yes,Yes,Yes,No,No,2 anos,No,CartaoCredito,45.25,3139.8,No,
3954,7225-CBZPL,Masculino,1,Yes,No,17,Yes,Yes,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,94.8,1563.9,No,
421,5605-IYGFG,Feminino,0,No,No,7,Yes,No,Fibra,No,No,No,No,No,No,Mensal,Yes,DebitoAutomatico,69.85,515.45,No,
5099,6861-OKBCE,Feminino,0,No,Yes,11,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,CartaoCredito,20.1,221.35,Yes,
4664,7571-YXDAD,Feminino,0,No,No,2,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,No,CartaoCredito,74.9,147.15,Yes,
5028,0254-FNMCI,Feminino,0,No,No,72,Yes,No,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,BoletoEletronico,109.9,7624.2,No,
506,8981-FJGLA,Masculino,0,No,Yes,11,Yes,Yes,Fibra,No,No,Yes,No,No,No,Mensal,Yes,BoletoImpresso,78.0,851.8,No,
3467,8414-MYSHR,Masculino,1,No,No,5,Yes,No,Fibra,No,No,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,91.4,449.75,Yes,
6809,9274-CNFMO,Masculino,1,Yes,No,4,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,No,BoletoEletronico,74.95,308.7,Yes,
1544,3794-NFNCH,Masculino,0,Yes,No,30,Yes,No,DSL,No,No,Yes,No,No,No,Mensal,Yes,BoletoImpresso,50.0,1474.9,No,
1315,5158-RIVOP,Feminino,0,Yes,Yes,11,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,CartaoCredito,20.9,202.3,No,
4537,1100-DDVRV,Masculino,0,Yes,No,17,No,SemTelefone,DSL,No,Yes,No,No,Yes,Yes,Mensal,Yes,BoletoImpresso,49.8,836.35,No,
4054,9522-BNTHX,Feminino,1,No,No,34,No,SemTelefone,DSL,No,Yes,Yes,No,Yes,Yes,Mensal,Yes,BoletoEletronico,56.25,1765.95,No,
3043,3677-IYRBF,Feminino,1,No,No,2,No,SemTelefone,DSL,No,No,Yes,No,No,No,Mensal,Yes,BoletoEletronico,30.4,78.65,Yes,
2799,7009-PCARS,Masculino,0,No,Yes,55,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,No,DebitoAutomatico,19.1,1001.5,No,
2641,8250-ZNGGW,Feminino,1,No,No,5,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Mensal,No,CartaoCredito,59.9,287.85,No,
4498,0967-BMLBD,Feminino,0,Yes,Yes,11,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,Yes,BoletoImpresso,20.0,196.35,No,
3551,7594-RQHXR,Feminino,0,No,Yes,1,Yes,No,Fibra,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,79.6,79.6,Yes,
347,8966-SNIZF,Feminino,0,Yes,No,70,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,DebitoAutomatico,19.45,1303.5,No,
6529,7235-NXZCP,Masculino,1,No,No,2,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,74.85,156.4,Yes,
333,0122-OAHPZ,Feminino,0,No,No,7,Yes,Yes,Fibra,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,73.85,511.25,Yes,
6830,7815-PDTHL,Masculino,0,No,No,35,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,BoletoImpresso,20.2,684.4,No,
6056,8331-ZXFOE,Feminino,0,No,No,58,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Anual,Yes,CartaoCredito,71.1,4299.2,No,
6154,8901-UPRHR,Feminino,0,Yes,Yes,72,Yes,Yes,Fibra,No,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,DebitoAutomatico,109.2,7711.45,No,
5422,3563-SVYLG,Masculino,0,Yes,Yes,68,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,2 anos,No,CartaoCredito,62.65,4375.8,No,
6592,3205-MXZRA,Masculino,0,No,No,26,Yes,No,DSL,No,No,No,Yes,Yes,No,Anual,No,CartaoCredito,59.45,1507,No,
6955,5392-AKEMH,Feminino,0,No,No,12,Yes,No,DSL,No,No,No,No,No,No,Mensal,Yes,BoletoEletronico,45.05,523.1,No,
1922,8201-AAXCB,Masculino,0,Yes,Yes,25,Yes,Yes,DSL,No,No,No,No,Yes,No,Mensal,No,BoletoEletronico,60.35,1404.65,No,
746,6919-ELBGL,Masculino,1,Yes,Yes,72,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,DebitoAutomatico,114.95,8196.4,No,
6910,0530-IJVDB,Masculino,0,No,Yes,70,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,BoletoEletronico,114.6,7882.5,No,
1670,5047-LHVLY,Masculino,1,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,No,Mensal,Yes,BoletoImpresso,50.15,50.15,Yes,
6618,8404-FYDIB,Masculino,0,No,No,26,Yes,Yes,Fibra,Yes,Yes,No,No,No,No,Mensal,Yes,CartaoCredito,86.65,2208.75,No,
4059,3415-TAILE,Feminino,0,Yes,Yes,2,Yes,No,DSL,No,No,No,No,Yes,Yes,Mensal,No,BoletoImpresso,65.7,134.35,Yes,
4271,2819-GWENI,Feminino,0,Yes,Yes,28,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Anual,No,BoletoImpresso,19.9,543,No,
2473,6164-HXUGH,Feminino,0,Yes,Yes,6,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,19.85,119.3,No,
4048,6762-QVYJO,Feminino,0,Yes,Yes,58,No,SemTelefone,DSL,Yes,No,Yes,Yes,Yes,Yes,2 anos,No,BoletoImpresso,59.75,3624.35,No,
259,5046-NUHWD,Feminino,1,Yes,No,29,No,SemTelefone,DSL,Yes,No,Yes,No,No,Yes,Mensal,Yes,BoletoEletronico,45.0,1228.65,No,
1741,0106-GHRQR,Masculino,0,No,No,16,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Mensal,Yes,DebitoAutomatico,71.4,1212.1,No,
3829,8374-XGEJJ,Masculino,1,Yes,No,43,Yes,Yes,Fibra,No,Yes,No,No,Yes,Yes,Mensal,Yes,BoletoEletronico,101.0,4388.4,Yes,
2020,2546-KZAAT,Masculino,0,Yes,No,52,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Anual,Yes,BoletoImpresso,75.4,3865.45,No,
4586,7569-NMZYQ,Feminino,0,Yes,Yes,72,Yes,Yes,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,Yes,DebitoAutomatico,118.75,8672.45,No,
1860,3279-DYZQM,Masculino,0,Yes,Yes,71,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,No,BoletoImpresso,19.45,1378.45,No,
599,0374-FIUCA,Masculino,0,Yes,No,65,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,CartaoCredito,20.4,1414.45,No,
45,3714-NTNFO,Feminino,0,No,No,49,Yes,Yes,Fibra,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,84.5,3906.7,No,
4622,8705-DWKTI,Masculino,0,No,No,52,Yes,No,Fibra,No,No,Yes,No,No,Yes,Mensal,Yes,CartaoCredito,83.8,4331.4,No,
6277,4195-SMMNX,Masculino,0,No,No,2,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,No,BoletoImpresso,20.35,33.2,Yes,
5022,2599-CIPQE,Masculino,0,Yes,Yes,71,Yes,No,Fibra,Yes,Yes,Yes,Yes,Yes,Yes,2 anos,No,CartaoCredito,109.3,7782.85,No,
6919,5136-GFPMB,Masculino,0,No,No,54,Yes,Yes,Fibra,No,No,Yes,No,No,Yes,Mensal,No,CartaoCredito,89.4,4869.5,No,
5701,6476-YHMGA,Feminino,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Mensal,No,DebitoAutomatico,76.5,1155.6,No,
1221,3055-MJDSB,Masculino,0,No,No,9,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,24.6,190.1,No,
2458,7516-GMHUV,Masculino,1,Yes,No,50,Yes,Yes,Fibra,Yes,No,Yes,No,Yes,Yes,2 anos,Yes,CartaoCredito,105.05,5163.3,No,
5306,5940-NFXKV,Masculino,0,Yes,Yes,19,Yes,Yes,Fibra,No,No,No,No,No,Yes,Mensal,Yes,BoletoEletronico,83.65,1465.75,Yes,
2228,3597-YASZG,Feminino,1,Yes,No,70,Yes,Yes,Fibra,No,Yes,No,Yes,Yes,Yes,2 anos,Yes,DebitoAutomatico,104.45,7349.35,No,
3886,3786-WOVKF,Feminino,1,Yes,No,72,Yes,Yes,Fibra,Yes,Yes,No,No,Yes,Yes,Anual,Yes,DebitoAutomatico,106.85,7677.4,No,
426,2806-MLNTI,Masculino,1,Yes,No,52,Yes,Yes,Fibra,No,Yes,Yes,No,Yes,Yes,Anual,Yes,DebitoAutomatico,105.1,5376.4,No,
1569,0799-DDIHE,Feminino,0,Yes,Yes,15,Yes,No,DSL,No,No,No,No,No,No,Mensal,No,BoletoEletronico,46.3,639.45,No,
805,9926-PJHDQ,Feminino,0,Yes,Yes,72,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,2 anos,Yes,DebitoAutomatico,76.8,5468.45,No,
410,0334-GDDSO,Masculino,1,No,No,3,Yes,Yes,Fibra,No,Yes,No,No,No,No,Mensal,Yes,BoletoEletronico,81.35,233.7,Yes,
6931,2371-KFUOG,Masculino,0,No,No,58,Yes,No,Fibra,Yes,Yes,No,No,Yes,Yes,Anual,No,DebitoAutomatico,99.15,5720.95,No,
3574,4634-JLRJT,Feminino,0,No,No,1,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,Mensal,Yes,BoletoImpresso,20.35,20.35,No,
438,5886-VLQVU,Masculino,0,Yes,No,35,Yes,Yes,Fibra,No,No,No,Yes,No,Yes,Mensal,Yes,DebitoAutomatico,89.85,3161.2,No,
3666,3194-ORPIK,Feminino,0,Yes,Yes,50,Yes,Yes,Fibra,No,No,No,No,Yes,No,Mensal,Yes,DebitoAutomatico,84.4,4116.15,Yes,
434,6048-NJXHX,Masculino,0,Yes,No,41,Yes,No,No,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,SemInternet,2 anos,Yes,BoletoEletronico,19.75,899.45,No,
1805,7860-KSUGX,Masculino,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,2 anos,No,CartaoCredito,64.45,4720,No,
6901,2925-MXLSX,Feminino,0,No,No,30,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Anual,Yes,CartaoCredito,68.95,2038.7,No,
3621,2933-FILNV,Feminino,0,Yes,Yes,2,No,SemTelefone,DSL,No,No,No,No,No,No,Mensal,Yes,BoletoImpresso,24.4,36.55,Yes,
6810,7758-XKCBS,Masculino,0,No,No,15,No,SemTelefone,DSL,No,No,No,Yes,No,No,Mensal,Yes,BoletoEletronico,29.7,438.25,Yes,
5266,2027-DNKIV,Masculino,0,Yes,Yes,37,Yes,No,DSL,Yes,No,Yes,Yes,No,No,Anual,Yes,BoletoImpresso,58.75,2203.1,No,
1566,4751-ERMAN,Masculino,0,Yes,Yes,72,Yes,No,DSL,No,Yes,Yes,No,Yes,Yes,2 anos,Yes,DebitoAutomatico,75.4,5480.25,No,
